Drug Name,Generic Name, Number of Prescribers , Number of Medicare Part D Claims , Number of Standardized 30-Day Part D Fills ,Aggregate Cost Paid for Part D Claims, Number of Medicare Beneficiaries , GE65 Suppression Flag , Number of Medicare Part D Claims for Beneficiaries 65+ , Number of Standardized 30-Day Part D Fills for Beneficiaries 65+ ,Aggregate Cost Paid for Part D Claims for Beneficiaries 65+, Beneficiary 65+ Suppression Flag , Number of Medicare Beneficiaries 65+ ,Aggregate Cost Share for Beneficiaries with Low Income Subsidy,Aggregate Cost Share for Beneficiaries with No Low Income Subsidy, Opioid Drug Flag ,Extended-Release Opioid Drug Flag, Antibiotic Drug Flag , Antipsychotic Drug Flag 
DILT-XR,DILTIAZEM HCL,89457,546235,1077170.2,23382572.11,147078,,497903,998623.9,21662948.99,,134883,267923.74,8811492.33,N,N,N,N
DILTIAZEM 12HR ER,DILTIAZEM HCL,39506,157648,252589.1,25593570.64,43670,,142345,231059.3,23261395.68,,39409,114375.39,3350494.02,N,N,N,N
DILTIAZEM 24HR CD,DILTIAZEM HCL,139171,1311540,1894857.8,41671144.61,297685,,1177737,1724506.2,38294047.47,,269122,697112.15,16297334.75,N,N,N,N
DILTIAZEM 24HR ER,DILTIAZEM HCL,210770,2649821,4481317.0,148540349.07,637883,,2390374,4105788.5,135309619.42,,578936,1462130.81,40562027.66,N,N,N,N
DILTIAZEM ER,DILTIAZEM HCL,67338,365518,590398.2,13314426.97,92998,,327514,539449.2,12178273.97,,84093,207929.80,5380892.47,N,N,N,N
DILTIAZEM HCL,DILTIAZEM HCL,132055,987084,1498276.9,23655927.48,227947,,867827,1334814.5,21092936.77,,201874,439365.88,5825079.47,N,N,N,N
DILTZAC ER,DILTIAZEM HCL,19,34,36.0,791.86,19,,19,21,392.94,#,,31.77,83.87,N,N,N,N
DIMENHYDRINATE,DIMENHYDRINATE,15,26,26.0,7287.72,18,#,,,,#,,5.90,535.15,N,N,N,N
DIOVAN,VALSARTAN,29391,130034,204825.4,43995695.69,33298,,119894,190553.1,40977719.67,,30220,250661.53,7009575.34,N,N,N,N
DIOVAN HCT,VALSARTAN/HYDROCHLOROTHIAZIDE,7803,35480,61782.6,14984192.69,7534,,32793,57431.7,13908116.57,,6963,58220.65,2145662.23,N,N,N,N
DIPENTUM,OLSALAZINE SODIUM,563,2833,4133.4,5589283.49,474,,2419,3655.8,4869171.45,,416,3759.55,322072.96,N,N,N,N
DIPHENHYDRAMINE HCL,DIPHENHYDRAMINE HCL,9233,42644,43242.3,779435.55,16296,,17898,18114.3,140592.65,,9537,20488.73,74896.58,N,N,N,N
DIPHENOXYLATE-ATROPINE,DIPHENOXYLATE HCL/ATROPINE,155316,896497,964581.4,28045447.02,383455,,701357,761100,21599251.66,,310088,320398.76,5803030.99,N,N,N,N
DIPHTHERIA-TETANUS TOXOIDS-PED,"TETANUS,DIPHTHERIA TOXD PED/PF",86,108,108.0,6646.65,108,,90,90,5621.39,,90,146.35,2733.84,N,N,N,N
DIPROLENE,BETAMETHASONE/PROPYLENE GLYC,114,190,222.0,37553.94,113,,154,186,30542.20,,95,193.40,7464.13,N,N,N,N
DIPROLENE AF,BETAMETHASONE/PROPYLENE GLYC,89,172,184.0,36206.21,90,,136,148,28215.80,,77,51.00,4908.18,N,N,N,N
DIPYRIDAMOLE,DIPYRIDAMOLE,10654,47045,70452.0,1478141.00,11321,,41065,62944.4,1312518.19,,9959,20933.21,497085.78,N,N,N,N
DISKETS,METHADONE HCL,,14,14.0,226.95,,*,,,,*,,0.00,215.15,Y,N,N,N
DISOPYRAMIDE PHOSPHATE,DISOPYRAMIDE PHOSPHATE,3938,20540,33119.0,3024303.36,3816,,18454,30013.9,2742410.28,,3433,11185.71,573124.92,N,N,N,N
DISULFIRAM,DISULFIRAM,8490,28876,34588.0,2317392.75,8355,,10535,14126.3,899887.98,,3512,27582.37,331876.85,N,N,N,N
DITROPAN XL,OXYBUTYNIN CHLORIDE,629,2421,4072.5,964338.81,553,,1626,2970.7,648756.79,,421,3254.10,110163.42,N,N,N,N
DIURIL,CHLOROTHIAZIDE,27,64,77.9,3052.62,26,,25,32.9,1288.22,,14,50.60,399.05,N,N,N,N
DIVALPROEX SODIUM,DIVALPROEX SODIUM,155274,3173967,3526140.4,136525765.46,425769,,1699204,1897307.3,75903016.77,,233903,1597568.17,9015841.08,N,N,N,N
DIVALPROEX SODIUM ER,DIVALPROEX SODIUM,109978,2000603,2263900.7,248774058.69,268368,,600515,730182.4,63830548.80,,92079,1821949.10,10635742.38,N,N,N,N
DIVIGEL,ESTRADIOL,1840,7494,10703.6,1174801.94,2136,,5259,7913.9,850314.08,,1540,7776.52,400119.88,N,N,N,N
DOBUTAMINE HCL,DOBUTAMINE HCL,47,436,436.0,33461.96,41,,312,312,24725.14,,26,810.45,4697.18,N,N,N,N
DOBUTAMINE HCL IN DEXTROSE,DOBUTAMINE HCL IN DEXTROSE 5 %,47,552,552.0,86914.43,43,,404,404,72153.68,,29,183.91,8140.50,N,N,N,N
DOCETAXEL,DOCETAXEL,220,1577,1579.2,2593727.25,418,,1335,1337.2,2139342.33,,349,3764.34,109827.03,N,N,N,N
DOFETILIDE,DOFETILIDE,9426,81594,125958.3,44238033.07,25655,,75917,118012.1,41347863.29,,23935,53841.01,8348519.58,N,N,N,N
DOLOPHINE HCL,METHADONE HCL,23,88,90.0,11012.92,20,,61,63,9045.64,#,,265.06,2226.22,Y,N,N,N
DONEPEZIL HCL,DONEPEZIL HCL,237170,8702278,11677994.9,155877549.18,1400913,,8342000,11235708.7,149811704.23,,1347305,2889825.95,39153273.08,N,N,N,N
DONEPEZIL HCL ODT,DONEPEZIL HCL,13699,70610,94276.8,2131499.23,16209,,67792,90778.7,2056366.02,,15617,25822.52,391667.10,N,N,N,N
DORIBAX,DORIPENEM,125,672,672.0,408694.66,158,,509,509,306026.41,,119,807.96,47873.31,N,N,Y,N
DORYX,DOXYCYCLINE HYCLATE,27,37,46.0,34697.85,27,#,,,,#,,7.20,5662.28,N,N,Y,N
DORZOLAMIDE HCL,DORZOLAMIDE HCL,47060,807810,1300640.7,18796353.94,205892,,757259,1226041.9,17700637.23,,192987,338196.11,6493256.43,N,N,N,N
DORZOLAMIDE-TIMOLOL,DORZOLAMIDE HCL/TIMOLOL MALEAT,67704,1931302,3265342.0,45195472.90,474298,,1812115,3078705.4,42637980.36,,445129,878717.01,16427172.41,N,N,N,N
DOTHELLE DHA,"PNV 16/IRON FUM,PS/FOLIC/OM-3",,19,19.0,680.59,,*,,,,*,,31.10,58.45,N,N,N,N
DOVONEX,CALCIPOTRIENE,209,595,682.4,779978.95,186,,395,471,527821.22,,123,1287.62,15642.95,N,N,N,N
DOXAZOSIN MESYLATE,DOXAZOSIN MESYLATE,186408,2894121,5298591.0,89409388.90,571636,,2598919,4874037.6,81716571.30,,518961,1248642.37,27596499.80,N,N,N,N
DOXEPIN HCL,DOXEPIN HCL,105561,975192,1277955.5,38701285.79,193379,,517561,749952.4,21523523.10,,108073,780661.20,7072493.44,N,N,N,N
DOXERCALCIFEROL,DOXERCALCIFEROL,1957,12192,18317.8,8523757.86,2425,,10645,16289.9,7373805.88,,2114,8745.80,325526.71,N,N,N,N
DOXIL,DOXORUBICIN HCL PEG-LIPOSOMAL,18,80,80.0,306847.74,22,#,,,,#,,106.40,16418.29,N,N,N,N
DOXORUBICIN HCL,DOXORUBICIN HCL,157,785,786.3,60430.03,237,,688,689.3,52900.47,,201,356.39,6680.79,N,N,N,N
DOXORUBICIN HCL LIPOSOME,DOXORUBICIN HCL PEG-LIPOSOMAL,52,211,214.0,632939.19,69,,176,179,511002.56,#,,3930.67,30808.22,N,N,N,N
DOXY 100,DOXYCYCLINE HYCLATE,431,1879,1879.6,437349.82,473,,933,933.4,183310.00,,341,3184.55,41097.38,N,N,Y,N
DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,412106,3301545,3595447.1,138879095.18,2175567,,2626007,2889123.3,108913423.90,,1748692,1791016.62,41958136.69,N,N,Y,N
DOXYCYCLINE IR-DR,DOXYCYCLINE MONOHYDRATE,3208,11707,16055.5,7644917.64,3734,,10586,14662.4,6986390.14,,3347,4258.49,504364.60,N,N,N,N
DOXYCYCLINE MONOHYDRATE,DOXYCYCLINE MONOHYDRATE,183566,867754,950510.3,18780312.86,633287,,692786,765869.6,14887032.29,,510144,398876.02,6925499.09,N,N,Y,N
DRITHOCREME HP,ANTHRALIN,20,32,32.7,4087.24,21,,14,14,1990.76,#,,39.80,700.64,N,N,N,N
DRONABINOL,DRONABINOL,30753,142677,146221.3,45802422.61,43122,,80757,82869.2,19296916.77,,30117,140427.91,2358861.58,N,N,N,N
DROPLET PEN NEEDLE,"PEN NEEDLE, DIABETIC",13,26,34.0,715.92,13,#,,,,#,,13.48,60.24,N,N,N,N
DROSPIRENONE-ETH ESTRA-LEVOMEF,DROSPIR/ETH ESTRA/LEVOMEFOL CA,16,27,34.2,4322.31,16,,0,0,0.00,,0,47.40,0.00,N,N,N,N
ELOCON,MOMETASONE FUROATE,356,563,670.9,62051.08,362,,492,595.9,54694.52,,325,774.43,13645.84,N,N,N,N
DROSPIRENONE-ETHINYL ESTRADIOL,ETHINYL ESTRADIOL/DROSPIRENONE,1441,4954,6757.3,297681.08,1334,,19,22.6,909.50,*,,5674.60,14184.64,N,N,N,N
DROXIA,HYDROXYUREA,666,3185,4140.7,144527.25,692,,2679,3524.2,118719.05,,548,4296.35,59140.29,N,N,N,N
DUAC,CLINDAMYCIN PHOS/BENZOYL PEROX,29,50,50.7,15851.29,28,,27,27.7,9118.67,,15,69.00,1058.18,N,N,N,N
DUAVEE,"ESTROGENS,CONJ/BAZEDOXIFENE",1323,6458,8757.9,1274709.91,1525,,4458,6274.8,908526.93,,1014,7920.82,373683.91,N,N,N,N
DUET DHA 400,PRENATAL VIT106/IRON/FOLIC/OM3,12,44,45.0,6679.83,11,,28,28,4198.14,*,,89.67,338.48,N,N,N,N
DUET DHA BALANCED,PNV 117/IRON/FOLIC/OM3/DHA/EPA,,13,22.0,3201.54,,*,,,,*,,188.16,88.00,N,N,N,N
DUETACT,PIOGLITAZONE HCL/GLIMEPIRIDE,52,178,251.0,134302.77,45,,167,230,122512.34,#,,242.81,9162.40,N,N,N,N
DUEXIS,IBUPROFEN/FAMOTIDINE,4105,13561,15105.7,23773180.66,5906,,8554,9731.3,15189616.82,,3829,26211.50,410591.52,N,N,N,N
DULERA,MOMETASONE/FORMOTEROL,84830,633266,885931.6,204699264.92,193811,,500045,719926.8,162958879.33,,153121,1254537.84,26900609.52,N,N,N,N
DULOXETINE HCL,DULOXETINE HCL,308282,8642757,11782491.3,497893202.57,1442760,,5298352,7593777.6,313250301.23,,924914,6981858.36,94494149.81,N,N,N,N
DURAGESIC,FENTANYL,3164,20143,20643.1,28521576.82,2234,,7316,7621.7,8933813.92,,897,31153.62,559539.22,Y,N,N,N
DURAMORPH,MORPHINE SULFATE/PF,,34,34.0,1184.81,12,,14,14,860.43,*,,21.77,89.76,N,N,N,N
DUREZOL,DIFLUPREDNATE,25422,662273,733233.5,105813851.94,425118,,610305,675606.7,97325607.19,,396319,1020983.56,25793572.34,N,N,N,N
DURLAZA,ASPIRIN,55,509,599.0,106186.72,114,,409,499,88028.57,,94,1875.12,9035.55,N,N,N,N
DUTASTERIDE,DUTASTERIDE,83961,911237,1606929.4,95973127.26,193933,,868176,1547771.4,92884527.42,,185874,404869.82,16867982.22,N,N,N,N
DUTASTERIDE-TAMSULOSIN,DUTASTERIDE/TAMSULOSIN HCL,17373,113680,195909.6,23658793.19,26494,,107915,187988.4,22659529.93,,25236,59514.83,3906216.56,N,N,N,N
DUTOPROL,METOPROLOL SU/HYDROCHLOROTHIAZ,452,1310,2269.4,386127.89,430,,1230,2167.2,365380.50,,402,1550.53,63196.82,N,N,N,N
DYAZIDE,TRIAMTERENE/HYDROCHLOROTHIAZID,2287,9146,16922.0,1033230.60,2098,,8816,16417.6,999627.64,,2027,5923.77,435560.21,N,N,N,N
DYLOJECT,DICLOFENAC SODIUM,,15,15.0,283.73,12,#,,,,#,,0.00,201.39,N,N,N,N
DYMISTA,AZELASTINE/FLUTICASONE,25870,127096,159852.8,27087511.50,53645,,109568,138848.6,23506782.53,,47069,127078.90,5739668.41,N,N,N,N
DYRENIUM,TRIAMTERENE,2103,7105,11742.0,3846158.08,1912,,6099,10381.9,3302931.94,,1650,10821.51,464343.15,N,N,N,N
DYSPORT,ABOBOTULINUMTOXINA,83,303,654.4,361720.42,139,,136,311.7,147567.27,,64,426.38,21472.26,N,N,N,N
E.E.S. 200,ERYTHROMYCIN ETHYLSUCCINATE,953,5515,5603.3,4344425.65,968,,2947,2997.2,1972511.78,,538,5293.11,90799.80,N,N,Y,N
E.E.S. 400,ERYTHROMYCIN ETHYLSUCCINATE,901,1533,1614.0,568040.19,937,,1089,1148.6,329653.19,,709,2095.40,37836.19,N,N,Y,N
EASY COMFORT INSULIN SYRINGE,"SYRING-NEEDL,DISP,INSUL,0.3 ML",14,21,27.7,396.72,13,#,,,,#,,48.32,16.34,N,N,N,N
EASY COMFORT INSULIN SYRINGE,"SYRINGE AND NEEDLE,INSULIN,1ML",2499,9957,13661.5,504308.73,2960,,6604,9178.5,327440.87,,1933,11960.07,15944.98,N,N,N,N
EASY COMFORT INSULIN SYRINGE,"SYRINGE-NEEDLE,INSULIN,0.5 ML",3495,16088,21122.0,784245.28,4552,,11560,15333.4,559076.22,,3223,21815.86,22864.51,N,N,N,N
EASY COMFORT PEN NEEDLES,"PEN NEEDLE, DIABETIC",11972,85447,119389.6,4869501.16,22244,,57502,82020.3,3228580.53,,15321,112664.32,169535.05,N,N,N,N
EASY TOUCH,"SYRING-NEEDL,DISP,INSUL,0.3 ML",4752,14741,20281.0,310604.18,5363,,10978,15465.2,225861.15,,3990,16906.83,53605.64,N,N,N,N
EASY TOUCH,"SYRINGE AND NEEDLE,INSULIN,1ML",5833,20606,28224.3,442425.59,6829,,13036,18181.7,269369.11,,4356,24494.77,56397.29,N,N,N,N
EASY TOUCH,"SYRINGE-NEEDLE,INSULIN,0.5 ML",12551,52336,71945.2,1132022.57,16670,,38797,54479.3,823034.30,,12254,65355.16,166244.75,N,N,N,N
EASY TOUCH ALCOHOL PREP PADS,ALCOHOL ANTISEPTIC PADS,7813,52885,66233.8,235319.06,14990,,40391,51909,179357.57,,11591,39855.37,16742.84,N,N,N,N
EASY TOUCH FLIPLOCK INSULIN,"SYRINGE,NEEDLE,INSULN,SAFE,1ML",15,29,41.0,861.70,15,,14,20,386.68,*,,13.10,136.25,N,N,N,N
EASY TOUCH INSULIN SAFETY,"SYRINGE,NEEDLE,INSULN,SAFE,1ML",136,721,791.4,21417.80,200,,500,558.2,14768.43,,139,483.99,2384.09,N,N,N,N
EASY TOUCH INSULIN SAFETY,"SYRINGE,NEEDLE,INSULN,SF 0.5ML",228,1081,1166.2,33034.13,318,,861,926.7,26601.84,,251,893.96,4636.74,N,N,N,N
EASY TOUCH INSULIN SYRINGE,"SYRING-NEEDL,DISP,INSUL,0.3 ML",504,1403,1769.4,29051.01,522,,1001,1300.1,20734.10,,379,1246.35,4313.15,N,N,N,N
EASY TOUCH INSULIN SYRINGE,"SYRINGE AND NEEDLE,INSULIN,1ML",1441,4139,5558.9,92669.38,1493,,2443,3422.5,53182.34,,927,5308.43,10756.46,N,N,N,N
EASY TOUCH INSULIN SYRINGE,"SYRINGE-NEEDLE,INSULIN,0.5 ML",1169,3465,4576.9,75465.61,1230,,2497,3385.9,53527.68,,875,4232.52,10376.63,N,N,N,N
EASY TOUCH PEN NEEDLE,"PEN NEEDLE, DIABETIC",32660,162038,237705.7,4288844.77,51181,,110214,167573.9,2849786.56,,35269,204829.28,617910.60,N,N,N,N
EASY TOUCH SHEATHLOCK INSULIN,"SYRINGE,NEEDLE,INSULN,SAFE,1ML",45,255,267.1,7330.84,85,,225,233.1,6431.34,,71,139.75,189.77,N,N,N,N
EASY-TOUCH INSULIN SYRINGE,"SYRINGE AND NEEDLE,INSULIN,1ML",8007,30038,40676.0,690615.02,9593,,19506,27241.1,432690.16,,6388,37742.93,87122.24,N,N,N,N
EC-NAPROSYN,NAPROXEN,55,99,138.5,17274.02,53,,87,124.5,15408.67,#,,83.47,5094.46,N,N,N,N
ECLIPSE SYRINGE,"SYRINGE AND NEEDLE,INSULIN,1ML",21,33,89.4,1540.73,22,#,,,,#,,43.30,290.62,N,N,N,N
ECONAZOLE NITRATE,ECONAZOLE NITRATE,56254,400057,416791.7,72313037.44,213591,,328157,342961.7,58865895.01,,180654,241021.35,5520521.57,N,N,N,N
EDARBI,AZILSARTAN MEDOXOMIL,8962,58780,88543.6,14639933.48,12737,,54031,82007.6,13553974.87,,11613,88825.31,2971974.43,N,N,N,N
EDARBYCLOR,AZILSARTAN MED/CHLORTHALIDONE,8225,56811,82847.7,13399912.17,11802,,50913,74917.7,12106663.94,,10529,99166.19,2635138.96,N,N,N,N
EDECRIN,ETHACRYNIC ACID,4371,16597,22049.2,26552558.86,4010,,14817,19827.5,22706993.70,,3604,36677.11,1375572.05,N,N,N,N
EDLUAR,ZOLPIDEM TARTRATE,508,2590,3189.6,1179689.73,482,,1627,2107.5,763955.33,,323,2407.99,157104.89,N,N,N,N
EDURANT,RILPIVIRINE HCL,2356,28156,29477.6,26304796.50,3531,,8535,9186.4,8132095.31,,1056,31942.23,347368.17,N,N,N,N
EFFER-K,POTASSIUM BICARBONATE/CIT AC,1748,5045,6647.5,88531.26,1754,,4365,5856.2,76474.55,,1511,2043.96,39538.54,N,N,N,N
EFFEXOR XR,VENLAFAXINE HCL,7927,45086,64754.9,28766468.50,6785,,27262,42187.3,17364816.80,,4466,90987.41,2225988.26,N,N,N,N
EFFIENT,PRASUGREL HCL,50526,452106,643916.2,237509416.90,90558,,352558,510852.8,187697459.78,,72259,1022069.57,25564650.66,N,N,N,N
EFUDEX,FLUOROURACIL,191,242,249.7,78590.08,211,,231,238.7,75663.15,,200,452.42,14861.20,N,N,N,N
EGRIFTA,TESAMORELIN ACETATE,383,3723,3837.0,15208368.34,612,,732,750,2978524.33,,120,5593.56,236309.48,N,N,N,N
ELAPRASE,IDURSULFASE,,131,131.0,5922242.35,,,0,0,0.00,,0,25.60,8825.30,N,N,N,N
ELELYSO,TALIGLUCERASE ALFA,15,129,129.9,4419930.31,11,,83,83.9,2772693.68,*,,1134.63,169929.48,N,N,N,N
ELESTAT,EPINASTINE HCL,125,337,431.6,91743.06,123,,303,389.1,83215.79,,109,652.98,14350.48,N,N,N,N
ELESTRIN,ESTRADIOL,810,2579,3528.7,543255.56,880,,1898,2705.3,400444.65,,682,3596.26,160069.65,N,N,N,N
ELIDEL,PIMECROLIMUS,16011,47458,50415.1,20915956.58,27100,,34762,37152.2,14942849.38,,21357,69228.49,2113951.85,N,N,N,N
ELIGARD,LEUPROLIDE ACETATE,394,1050,2585.6,1628789.54,507,,973,2435.8,1548619.80,,474,6164.61,139678.66,N,N,N,N
ELINEST,NORGESTREL-ETHINYL ESTRADIOL,723,3492,4316.3,75625.40,647,,19,19.1,314.51,*,,2539.87,4809.31,N,N,N,N
ELIPHOS,CALCIUM ACETATE,1101,6176,14971.2,574373.69,2777,,4452,10911.9,383971.48,,1991,3550.11,76822.90,N,N,N,N
ELIQUIS,APIXABAN,231631,4455782,5882721.7,1926107484.40,826969,,4171981,5548406.3,1816737130.60,,769266,7044578.68,264950881.77,N,N,N,N
ELITE-OB,"IRON,CARBONYL/FOLIC ACID/MV-MN",64,182,268.1,8746.79,59,,65,99.7,2673.58,,21,139.27,475.48,N,N,N,N
ELITEK,RASBURICASE,,18,18.0,145797.74,13,,18,18,145797.74,,13,29.60,1885.79,N,N,N,N
ELIXOPHYLLIN,THEOPHYLLINE ANHYDROUS,395,2045,2125.8,778694.95,416,,1552,1616.7,571150.65,,328,613.46,13705.69,N,N,N,N
ELLA,ULIPRISTAL ACETATE,204,286,286.0,10889.55,202,,0,0,0.00,,0,888.59,80.58,N,N,N,N
ELMIRON,PENTOSAN POLYSULFATE SODIUM,14945,107460,145423.0,88756145.92,22793,,76153,106576.9,62992431.74,,16484,222152.25,9124610.08,N,N,N,N
EMADINE,EMEDASTINE DIFUMARATE,46,78,92.3,11343.11,45,#,,,,#,,133.45,1879.18,N,N,N,N
EMBEDA,MORPHINE SULFATE/NALTREXONE,4333,29461,29560.5,13419710.18,8850,,9521,9561.7,4003466.17,,2884,95105.78,601851.32,Y,Y,N,N
EMCYT,ESTRAMUSTINE PHOSPHATE SODIUM,62,402,426.3,360330.70,124,#,,,,#,,249.40,42931.05,N,N,N,N
EMEND,APREPITANT,1863,9689,9751.7,7378555.71,3925,,7601,7647.7,5548651.67,,3116,17497.51,714726.72,N,N,N,N
EMEND,FOSAPREPITANT DIMEGLUMINE,154,1117,1120.1,440945.93,318,,866,869.1,331334.70,,252,966.86,21882.01,N,N,N,N
EMLA,LIDOCAINE/PRILOCAINE,25,38,38.0,2382.87,24,,21,21,1383.58,#,,74.87,430.63,N,N,N,N
EMOQUETTE,DESOGESTREL-ETHINYL ESTRADIOL,509,2339,2947.3,49129.21,458,,11,15.4,289.12,*,,1559.26,4357.68,N,N,N,N
EMPLICITI,ELOTUZUMAB,43,296,300.4,3368162.79,62,,264,268.4,3060607.67,#,,36.60,123974.93,N,N,N,N
EMSAM,SELEGILINE,1285,6610,7353.3,11081107.89,1186,,3501,4021.4,5940310.17,,640,14871.28,613632.36,N,N,N,N
EMTRIVA,EMTRICITABINE,2843,25455,28252.9,11729024.05,3369,,7604,8765.1,3877651.09,,1031,27284.11,219715.31,N,N,N,N
EMVERM,MEBENDAZOLE,458,554,559.0,815031.32,461,,354,357.9,534874.37,,293,476.46,21712.81,N,N,N,N
ENABLEX,DARIFENACIN HYDROBROMIDE,12378,43840,60861.2,18179905.66,14004,,37487,53042.2,15674400.78,,12298,73940.15,2304073.94,N,N,N,N
ENALAPRIL MALEATE,ENALAPRIL MALEATE,213765,3977587,7207247.3,111869608.42,750809,,3350588,6246895.8,96726050.05,,643818,1641129.62,18987401.88,N,N,N,N
ENALAPRIL-HYDROCHLOROTHIAZIDE,ENALAPRIL/HYDROCHLOROTHIAZIDE,38827,241048,472348.1,3785497.44,49553,,208067,420609.8,3397119.50,,43586,100312.83,1241784.69,N,N,N,N
ENBRACE HR,PRENATAL #92/IRON/FA #8/PS-DHA,103,605,723.0,99786.41,178,,349,419,56911.95,,105,1254.34,7372.47,N,N,N,N
ENBREL,ETANERCEPT,14956,344420,388656.2,1571764749.20,47781,,229575,265292,1064425221.20,,31236,598752.59,37083238.17,N,N,N,N
ENDOCET,OXYCODONE HCL/ACETAMINOPHEN,51773,293666,295246.9,17058463.52,84432,,133217,134237.4,7437522.07,,45315,275418.95,1812923.55,Y,N,N,N
ENDOMETRIN,"PROGESTERONE, MICRONIZED",17,27,34.4,10720.81,17,*,,,,*,,584.42,567.41,N,N,N,N
ENGERIX-B ADULT,HEPATITIS B VIRUS VACCINE/PF,858,1882,1901.0,133803.63,1151,,1279,1296,91212.71,,782,1743.34,34808.66,N,N,N,N
ENGERIX-B PEDIATRIC-ADOLESCENT,HEPATITIS B VIRUS VACCINE/PF,27,44,44.0,3128.63,33,#,,,,#,,7.40,1295.21,N,N,N,N
ENJUVIA,"ESTROGENS,CONJ.,SYNTHETIC B",843,2611,4000.6,330009.10,814,,2048,3287.1,259481.61,,681,2628.33,124535.56,N,N,N,N
ENOXAPARIN SODIUM,ENOXAPARIN SODIUM,187581,784226,793107.8,251883249.01,390594,,616400,622889.8,185196835.99,,316877,927569.90,33330514.38,N,N,N,N
ENPRESSE,LEVONORGESTREL-ETHIN ESTRADIOL,626,3499,4212.1,72538.95,533,*,,,,*,,3027.22,4793.35,N,N,N,N
ENSKYCE,DESOGESTREL-ETHINYL ESTRADIOL,699,2879,3977.2,52717.99,635,,33,42,469.99,*,,3079.43,6121.45,N,N,N,N
ENSTILAR,CALCIPOTRIENE/BETAMETHASONE,709,1490,1545.1,1525033.40,882,,1153,1203.4,1158169.90,,717,2034.04,102091.78,N,N,N,N
ENTACAPONE,ENTACAPONE,14703,167286,211060.3,47101540.14,24245,,151306,191157.6,41999191.18,,21908,164616.90,6063614.72,N,N,N,N
ENTECAVIR,ENTECAVIR,7972,77852,94214.4,68286651.85,11010,,52660,66559.9,48122880.37,,7670,98128.13,3222297.26,N,N,N,N
ENTOCORT EC,BUDESONIDE,304,1078,1305.2,2073887.27,280,,849,1049.6,1631538.36,,217,3131.45,93821.96,N,N,N,N
ENTRESTO,SACUBITRIL/VALSARTAN,15099,133955,172977.1,65144299.31,35418,,107774,141301,52911822.69,,28423,277382.94,8052821.81,N,N,N,N
ENTYVIO,VEDOLIZUMAB,451,2134,2874.9,12209177.73,530,,929,1281.8,5329285.57,,233,4328.78,414261.48,N,N,N,N
ENULOSE,LACTULOSE,11867,43792,47745.8,708529.42,17977,,31962,35236.1,513254.62,,13454,14893.32,83704.30,N,N,N,N
ENVARSUS XR,TACROLIMUS,61,252,276.8,168785.82,62,,60,66,35540.96,,19,416.40,6099.63,N,N,N,N
EPANED,ENALAPRIL MALEATE,86,297,335.2,200669.97,71,,63,80,39640.89,,26,392.60,6805.89,N,N,N,N
EPCLUSA,SOFOSBUVIR/VELPATASVIR,3324,15133,15174.3,377955310.74,5916,,7715,7741,192412187.76,,2989,188022.25,7957930.19,N,N,N,N
EPIDUO,ADAPALENE/BENZOYL PEROXIDE,997,2153,2271.8,774353.94,1085,,630,697.5,213566.56,,418,5854.19,47126.59,N,N,N,N
EPIDUO FORTE,ADAPALENE/BENZOYL PEROXIDE,154,269,280.7,118008.83,155,,72,80,32783.91,,47,541.80,6919.44,N,N,N,N
EPIFOAM,HYDROCORTISONE/PRAMOXINE,111,190,192.0,16685.51,109,,166,168,14668.43,,86,219.73,3819.29,N,N,N,N
EPINASTINE HCL,EPINASTINE HCL,8325,44468,51666.0,2722574.72,17643,,38638,45170.4,2388996.25,,15586,25274.39,532181.89,N,N,N,N
EPINEPHRINE,EPINEPHRINE,17673,24612,25766.9,8484977.36,22046,,17512,18485.7,6057578.35,,16187,18946.56,554108.43,N,N,N,N
EPINEPHRINE,EPINEPHRINE HCL/PF,35,40,40.0,474.77,38,,29,29,405.35,#,,4.45,310.38,N,N,N,N
EPIPEN 2-PAK,EPINEPHRINE,122210,273741,287987.9,163985460.21,234071,,166882,177551.5,99290367.39,,152818,526249.41,10835794.36,N,N,N,N
EPIPEN JR 2-PAK,EPINEPHRINE,1987,2466,2585.6,1488386.09,2122,,1606,1679.1,966160.54,,1448,4859.39,94239.64,N,N,N,N
EPIRUBICIN HCL,EPIRUBICIN HCL,16,76,76.2,10013.58,19,,65,65.2,8496.66,#,,89.29,341.98,N,N,N,N
EPITOL,CARBAMAZEPINE,18808,78612,112594.4,5552735.82,19601,,39301,62450.4,2844379.84,,10747,71559.77,751494.24,N,N,N,N
EPIVIR,LAMIVUDINE,980,4385,4908.4,785980.66,988,,1323,1558,285903.66,,305,5008.24,29604.55,N,N,N,N
EPIVIR HBV,LAMIVUDINE,343,1447,1714.2,473978.42,314,,604,754.3,254278.02,,130,2764.80,22967.29,N,N,N,N
EPLERENONE,EPLERENONE,26046,179026,323653.2,23036499.29,36762,,155080,287259.1,20289527.09,,32142,86199.98,5487954.67,N,N,N,N
EPOGEN,EPOETIN ALFA,2626,11673,12420.3,7327621.87,3225,,9974,10613.8,6238862.78,,2704,19958.92,378488.18,N,N,N,N
EPROSARTAN MESYLATE,EPROSARTAN MESYLATE,361,1322,2938.3,192527.86,325,,1266,2843.3,186801.44,,311,293.77,33452.69,N,N,N,N
